0,9,2012,9,12,0,0,0
1,9,2012,9,12,0,0,0
7,9,2012,9,11,0,1,1
13,9,2012,9,7,0,2,2
14,9,2012,9,7,0,1,2
24,9,2012,8,31,0,1,3
26,9,2012,8,30,0,3,3
30,9,2012,8,28,0,4,4
31,8.7,2012,10,4,1,1,1
33,9.6,2012,10,3,0,5,1
35,9.6,2012,10,3,0,5,1
37,9,2012,8,28,0,2,4
38,9,2012,8,28,0,1,4
39,9,2012,8,28,0,6,4
40,8.5,2012,8,27,1,2,5
45,9.2,2012,10,1,0,7,6
50,9.1,2012,9,27,0,2,7
52,9.5,2012,8,27,0,3,1
54,9.5,2012,8,27,0,7,1
57,9,2012,8,24,0,6,7
58,9,2012,8,24,0,2,7
60,9.1,2012,9,27,0,6,7
61,9.1,2012,9,27,0,1,7
68,8.7,2012,10,26,1,8,4
69,8.8,2012,10,26,1,1,6
75,9,2012,8,20,0,1,8
76,9,2012,8,20,0,7,9
77,9,2012,8,17,0,7,10
84,9,2012,8,17,0,9,10
86,9,2012,8,16,0,7,2
87,9,2012,10,12,0,2,11
98,9.3,2012,10,25,0,7,6
108,9,2012,9,20,0,1,7
109,9,2012,9,20,0,6,7
110,9.1,2012,9,20,0,1,3
111,9,2012,9,20,0,2,7
114,9,2012,8,15,0,1,6
135,9.5,2012,10,23,0,8,4
136,9.5,2012,10,23,0,0,4
137,9,2012,10,22,0,3,4
153,8.5,2012,9,17,1,2,7
154,9,2012,9,17,0,1,11
162,9,2012,8,8,0,6,0
163,9,2012,8,8,0,0,0
166,9.2,2012,10,7,0,2,6
167,9.2,2012,10,7,0,1,6
168,9.2,2012,10,7,0,6,6
175,9,2012,10,16,0,7,6
184,9,2012,9,17,0,6,11
185,8.5,2012,9,17,1,6,7
186,9,2012,9,17,0,2,11
187,8.5,2012,9,17,1,1,7
188,9,2012,9,13,0,2,12
189,9,2012,9,13,0,1,12
191,9,2012,9,13,0,6,12
192,9,2012,8,8,0,10,0
193,9,2012,8,7,0,6,13
194,9,2012,8,7,0,2,13
198,9,2012,10,14,0,6,10
200,9.8,2012,11,1,0,2,14
201,9.8,2012,11,1,0,2,14
207,9.4,2012,10,30,0,6,4
213,9,2012,10,30,0,6,15
215,9,2012,10,30,0,2,15
219,9,2012,10,30,0,1,15
226,9.3,2012,11,13,0,1,14
230,9.3,2012,11,13,0,2,14
231,9.3,2012,11,13,0,6,14
245,9,2012,11,3,0,4,16
246,9.5,2012,11,19,0,1,4
247,9.5,2012,11,19,0,3,4
248,9.5,2012,11,19,0,4,4
249,9.5,2012,11,19,0,6,4
250,9,2012,11,3,0,1,16
263,9,2012,11,18,0,6,6
264,9,2012,11,18,0,2,6
275,9,2012,11,18,0,1,6
276,9.5,2012,11,17,0,11,6
280,8.8,2012,11,16,1,11,17
290,9.3,2012,12,12,0,2,4
292,9.1,2012,11,15,0,11,0
294,8.7,2012,11,15,1,11,18
297,9.3,2012,12,12,0,6,4
298,9.3,2012,12,12,0,1,4
299,9.3,2012,12,12,0,7,4
302,9.5,2012,11,30,0,8,17
303,9,2012,11,30,0,1,14
305,9.3,2012,12,12,0,1,4
306,9.3,2012,12,12,0,4,4
310,9.4,2013,1,15,0,6,1
313,8.6,2012,11,23,1,1,2
315,8.5,2012,11,22,1,8,4
326,9.3,2012,12,12,0,6,4
327,9.3,2012,12,12,0,2,4
328,9.3,2012,12,12,0,3,4
329,9.1,2012,12,12,0,7,14
337,8.9,2013,1,14,1,1,6
339,8.5,2013,1,14,1,6,6
343,9.3,2012,11,21,0,0,1
344,9.3,2012,11,21,0,11,14
347,9,2012,11,21,0,1,14
349,9,2012,11,21,0,6,14
355,9,2012,11,26,0,11,6
360,9,2012,12,10,0,6,1
367,9.1,2013,1,14,0,7,6
368,8.9,2013,1,14,1,2,6
373,9.1,2013,1,10,0,7,0
374,9,2012,11,21,0,2,14
376,9,2012,11,20,0,11,14
379,9.2,2012,11,20,0,1,12
380,8.8,2012,11,20,1,1,17
381,9.2,2012,11,20,0,2,12
396,9.2,2012,11,20,0,6,12
398,9.1,2012,11,20,0,11,7
399,9.5,2012,11,19,0,2,4
443,9,1996,11,26,0,12,11
445,8.7,1996,11,26,1,12,13
480,9,1996,11,26,0,12,9
484,9.7,1996,11,15,0,13,11
509,9,1996,11,26,0,12,13
514,9.8,1996,9,25,0,13,0
525,8.1,1997,2,20,1,13,15
537,8.5,1997,1,31,1,12,3
541,9,1997,1,27,0,12,17
570,9,1997,3,26,0,13,6
572,9,1997,3,18,0,12,7
586,8.3,1997,3,3,1,12,13
597,8.7,1996,11,26,1,12,13
599,9,1996,11,26,0,12,11
628,8.8,1997,8,26,1,12,7
629,9.7,1997,8,25,0,13,14
630,9,1997,8,22,0,12,19
643,8,1997,11,11,1,12,6
661,8.6,1998,4,2,1,13,7
673,9.3,1997,11,4,0,12,6
681,8,1997,9,18,1,12,6
701,8.7,1997,10,17,1,12,13
703,8.5,1998,3,27,1,12,13
730,9.5,1997,9,3,0,12,1
752,8,1998,3,11,1,12,0
760,8.5,1998,1,27,1,12,20
763,9.3,1998,1,21,0,12,2
778,9,1997,10,2,0,12,2
789,8.5,1998,1,8,1,12,3
796,9,1997,11,18,0,12,5
816,8,1998,5,7,1,12,21
842,9.6,1998,6,30,0,13,0
860,9.4,1998,11,3,0,1,4
866,9.8,1998,10,21,0,12,2
870,9.5,1998,10,20,0,12,1
893,9,1998,10,27,0,1,7
894,9.1,1998,10,27,0,13,11
904,9.4,1998,9,8,0,1,14
914,9,1998,8,12,0,1,14
917,9,1998,8,12,0,1,9
918,9,1998,8,12,0,1,1
920,8.9,1998,10,27,1,1,9
923,9.5,1998,10,23,0,13,0
930,8.7,1998,10,8,1,1,9
976,9,1998,9,29,0,12,10
984,8.7,1998,8,24,1,12,0
985,8.3,1998,8,24,1,12,6
989,8,1998,8,23,1,12,11
990,8.7,1998,9,18,1,12,11
992,9,1998,9,18,0,12,6
995,9,1998,8,23,0,12,14
996,9.5,1998,8,23,0,12,11
997,9.3,1998,8,23,0,12,13
1001,8.9,1998,11,13,1,1,1
1015,8.7,1998,11,6,1,1,14
1016,9,1998,11,6,0,1,6
1018,9.5,1998,11,5,0,12,6
1021,9.1,1998,11,4,0,13,7
1022,9.1,1998,11,4,0,12,0
1026,8.9,1998,12,11,1,1,6
1033,8.8,1998,12,9,1,13,19
1052,8.7,1998,11,30,1,1,7
1054,9.5,1998,11,25,0,1,14
1057,9,1998,11,25,0,12,22
1058,10,1998,11,25,2,13,2
1060,8.4,1998,11,24,1,12,23
1088,9,1999,1,18,0,1,9
1089,9.4,1999,1,18,0,1,1
1090,8.6,1999,1,18,1,1,11
1092,9.3,1999,1,15,0,1,14
1118,8.5,1999,1,29,1,1,0
1126,8.5,1998,12,22,1,1,11
1163,8.9,1999,2,24,1,1,9
1165,9,1999,2,24,0,12,4
1168,9,1999,2,22,0,1,24
1170,9.5,1999,2,17,0,12,6
1173,9.5,1999,2,12,0,1,9
1180,9,1999,3,29,0,1,9
1183,8.4,1999,3,26,1,1,1
1186,9.1,1999,3,24,0,13,11
1187,8.8,1999,3,24,1,12,11
1204,8.4,1999,4,15,1,1,24
1208,9,1999,4,9,0,1,7
1224,8.5,1999,4,2,1,1,24
1228,9.3,1999,5,7,0,12,13
1230,8.5,1999,5,7,1,12,14
1233,9.4,1999,5,5,0,12,11
1242,8.5,1999,4,27,1,13,13
1251,9.1,1999,6,4,0,1,24
1253,8.8,1999,6,3,1,12,13
1275,8.8,1999,6,29,1,12,10
1286,9.5,1999,6,23,0,12,0
1287,10,1999,6,23,2,14,1
1289,10,1999,6,23,2,14,1
1311,8.8,1999,6,16,1,13,11
1318,9,1999,6,14,0,1,14
1330,8.4,1999,6,11,1,1,11
1349,8.6,1999,7,2,1,1,9
1421,8.9,1999,7,9,1,1,9
1422,9.7,1999,7,8,0,12,15
1434,10,1999,7,21,2,15,0
1447,9,1999,7,19,0,16,6
1457,10,1999,9,20,2,17,13
1459,9.2,1999,9,17,0,1,4
1461,10,1999,9,17,2,15,2
1462,9,1999,8,13,0,1,1
1494,9,1999,9,10,0,12,1
1516,8.5,1999,8,2,1,1,9
1527,8,1999,8,24,1,12,11
1530,9,1999,8,20,0,1,1
1532,8.8,1999,8,19,1,1,11
1543,9.3,1999,8,19,0,12,4
1544,8.6,1999,8,18,1,12,22
1548,8.4,1999,9,2,1,13,7
1550,9.2,1999,9,30,0,12,4
1558,8.7,1999,9,29,1,12,11
1568,8.8,1999,10,7,1,17,13
1575,9.2,1999,9,24,0,1,6
1576,9.1,1999,9,24,0,12,11
1592,10,1999,10,5,2,15,21
1606,8.8,1999,10,8,1,1,9
1607,8.1,1999,10,8,1,13,14
1612,9.1,1999,10,1,0,12,7
1613,8.9,1999,10,8,1,1,15
1614,8.8,1999,10,7,1,12,24
1615,9,1999,10,7,0,12,1
1617,9.5,1999,10,1,0,1,9
1622,8.9,1999,10,1,1,1,6
1628,9,1999,11,12,0,1,9
1634,9.4,1999,11,11,0,12,2
1635,8.2,1999,11,10,1,12,25
1637,9,1999,10,26,0,12,1
1645,8.8,1999,11,8,1,1,7
1646,8.7,1999,11,8,1,1,9
1655,9,1999,11,5,0,15,6
1660,9.1,1999,10,21,0,12,7
1670,9.4,1999,10,19,0,12,7
1673,9,1999,10,18,0,1,24
1678,9.1,1999,11,24,0,13,2
